Country Name,Country Code,Series Name,Series Code,Series_type,2021 [YR2021],2022 [YR2022],2023 [YR2023],series_type,2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],2021Q3 [YR2021Q3],2021Q4 [YR2021Q4],2022Q1 [YR2022Q1],2022Q2 [YR2022Q2],2022Q3 [YR2022Q3],2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4]
United States,USA,Other expense (% of expense),GC.XPN.OTHR.ZS,Other expense,13.322287,5.842579096,7.541347665,,,,,,,,,,,,,
United States,USA,Other expense (current LCU),GC.XPN.OTHR.CN,Other expense,9.70E+11,3.68E+11,5.01E+11,,,,,,,,,,,,,
United States,USA,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Out-of-pocket expenditure,10.70016861,..,..,,,,,,,,,,,,,
United States,USA,Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Out-of-pocket expenditure per capita,1285.330047,..,..,,,,,,,,,,,,,
United States,USA,"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP",1285.330047,1335.44944,..,,,,,,,,,,,,,
Germany,DEU,GDP (constant 2015 US$),NY.GDP.MKTP.KD,GDP,3.65E+12,3.70E+12,3.69E+12,,,,,,,,,,,,,
Germany,DEU,GDP (constant LCU),NY.GDP.MKTP.KN,GDP,3.29E+12,3.34E+12,3.33E+12,,,,,,,,,,,,,
Germany,DEU,GDP (current LCU),NY.GDP.MKTP.CN,GDP,3.68E+12,3.95E+12,4.19E+12,,,,,,,,,,,,,
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,GDP,4.35E+12,4.16E+12,4.53E+12,,,,,,,,,,,,,
Germany,DEU,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,GDP deflator,111.6881196,118.4919997,125.7708644,,,,,,,,,,,,,
Germany,DEU,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,GDP deflator: linked series,111.6881196,118.4919997,125.7708644,,,,,,,,,,,,,
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,GDP growth,3.669999862,1.369731055,-0.26643841,,,,,,,,,,,,,
Germany,DEU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,GDP per capita,43898.77132,44180.42984,44336.77752,,,,,,,,,,,,,
Germany,DEU,GDP per capita (constant LCU),NY.GDP.PCAP.KN,GDP per capita,39565.80558,39819.6634,39960.579,,,,,,,,,,,,,
Germany,DEU,GDP per capita (current LCU),NY.GDP.PCAP.CN,GDP per capita,44190.30426,47183.11544,50258.76561,,,,,,,,,,,,,
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,GDP per capita,52265.65416,49686.11546,54343.22651,,,,,,,,,,,,,
Germany,DEU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,GDP per capita growth,3.626128687,0.641609124,0.353884463,,,,,,,,,,,,,
Germany,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,"GDP per capita, PPP",62474.364,62875.20522,63097.7108,,,,,,,,,,,,,
Germany,DEU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"GDP per capita, PPP",62474.364,67533.05286,69027.09457,,,,,,,,,,,,,
Germany,DEU,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,GDP per person employed,124561.4046,123731.8219,123727.6085,,,,,,,,,,,,,
Germany,DEU,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use,..,..,..,,,,,,,,,,,,,
Germany,DEU,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,GDP per unit of energy use,..,..,..,,,,,,,,,,,,,
Germany,DEU,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,"GDP, PPP",5.20E+12,5.27E+12,5.25E+12,,,,,,,,,,,,,
Germany,DEU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"GDP, PPP",5.20E+12,5.66E+12,5.75E+12,,,,,,,,,,,,,
Germany,DEU,GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD,GDP: linked series,3.68E+12,3.95E+12,4.19E+12,,,,,,,,,,,,,
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Inflation, consumer prices",3.066666667,6.872574386,5.946436677,,,,,,,,,,,,,
Germany,DEU,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator",2.802929388,6.091856622,6.14291653,,,,,,,,,,,,,
Germany,DEU,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,"Inflation, GDP deflator: linked series",2.802929388,6.091856622,6.14291653,,,,,,,,,,,,,
Germany,DEU,Trade (% of GDP),NE.TRD.GNFS.ZS,Trade,80.15661805,89.06412737,82.79910645,,,,,,,,,,,,,
Germany,DEU,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,Trade in services,18.70123899,21.65352325,21.11559009,,,,,,,,,,,,,
Germany,DEU,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,"Foreign direct investment, net",96711985272,1.17E+11,72407214132,,,,,,,,,,,,,
Germany,DEU,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows",2.349165282,1.506606153,0.431214647,,,,,,,,,,,,,
Germany,DEU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows",1.02E+11,62728998896,19515498092,,,,,,,,,,,,,
Germany,DEU,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net outflows",4.573353851,4.319008164,2.031149245,,,,,,,,,,,,,
Germany,DEU,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,"Foreign direct investment, net outflows",1.99E+11,1.80E+11,91923800663,,,,,,,,,,,,,
Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Government expenditure on education, total",5.454889774,4.543890476,..,,,,,,,,,,,,,
Germany,DEU,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,"Government expenditure on education, total",9.0661726,9.190701485,..,,,,,,,,,,,,,
Germany,DEU,"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,"Government expenditure per student, primary",..,..,..,,,,,,,,,,,,,
Germany,DEU,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,"Government expenditure per student, secondary",..,..,..,,,,,,,,,,,,,
Germany,DEU,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,"Government expenditure per student, tertiary",..,..,..,,,,,,,,,,,,,
Germany,DEU,Gross national expenditure deflator (base year varies by country),NE.DAB.DEFL.ZS,Gross national expenditure deflator,112.0046893,120.3771064,125.9627584,,,,,,,,,,,,,
Germany,DEU,Gross national expenditure (current US$),NE.DAB.TOTL.CD,Gross national expenditure,4.12E+12,4.06E+12,4.34E+12,,,,,,,,,,,,,
Germany,DEU,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,Gross national expenditure,3.49E+12,3.86E+12,4.02E+12,,,,,,,,,,,,,
Germany,DEU,Gross national expenditure (constant LCU),NE.DAB.TOTL.KN,Gross national expenditure,3.11E+12,3.20E+12,3.19E+12,,,,,,,,,,,,,
Germany,DEU,Gross national expenditure (constant 2015 US$),NE.DAB.TOTL.KD,Gross national expenditure,3.45E+12,3.55E+12,3.54E+12,,,,,,,,,,,,,
Germany,DEU,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Gross national expenditure,94.84145074,97.50309192,95.99440934,,,,,,,,,,,,,
Germany,DEU,Households and NPISHs Final consumption expenditure (current LCU),NE.CON.PRVT.CN,Households and NPISHs Final consumption expenditure,1.79E+12,1.98E+12,2.09E+12,,,,,,,,,,,,,
Germany,DEU,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,Households and NPISHs Final consumption expenditure,1.64E+12,1.71E+12,1.69E+12,,,,,,,,,,,,,
Germany,DEU,Households and NPISHs Final consumption expenditure (constant 2015 US$),NE.CON.PRVT.KD,Households and NPISHs Final consumption expenditure,1.82E+12,1.89E+12,1.88E+12,,,,,,,,,,,,,
Germany,DEU,Households and NPISHs Final consumption expenditure (current US$),NE.CON.PRVT.CD,Households and NPISHs Final consumption expenditure,2.11E+12,2.08E+12,2.26E+12,,,,,,,,,,,,,
Germany,DEU,Households and NPISHs Final consumption expenditure (annual % growth),NE.CON.PRVT.KD.ZG,Households and NPISHs Final consumption expenditure,1.497273057,3.917546101,-0.723888823,,,,,,,,,,,,,
Germany,DEU,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure,48.56546787,50.05999216,49.92660463,,,,,,,,,,,,,
Germany,DEU,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),NE.CON.PRVT.PC.KD,Households and NPISHs Final consumption expenditure per capita,21881.89351,22575.79541,22551.77223,,,,,,,,,,,,,
Germany,DEU,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,Households and NPISHs Final consumption expenditure per capita growth,1.454321339,3.171123638,-0.1064112,,,,,,,,,,,,,
Germany,DEU,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)",NE.CON.PRVT.PP.KD,"Households and NPISHs Final consumption expenditure, PPP",2.40E+12,2.50E+12,2.48E+12,,,,,,,,,,,,,
Germany,DEU,"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,"Households and NPISHs Final consumption expenditure, PPP",2.40E+12,2.71E+12,2.80E+12,,,,,,,,,,,,,
Germany,DEU,Households and NPISHs final consumption expenditure: linked series (current LCU),NE.CON.PRVT.CN.AD,Households and NPISHs final consumption expenditure: linked series,1.79E+12,1.98E+12,2.09E+12,,,,,,,,,,,,,
Germany,DEU,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,ICT goods imports,8.53,7.48,..,,,,,,,,,,,,,
Germany,DEU,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,Imports of goods and services,1.63E+12,1.80E+12,1.78E+12,,,,,,,,,,,,,
Germany,DEU,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,Imports of goods and services,1.41E+12,1.51E+12,1.50E+12,,,,,,,,,,,,,
Germany,DEU,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,Imports of goods and services,8.980000075,6.992108481,-0.626071743,,,,,,,,,,,,,
Germany,DEU,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Imports of goods and services,37.4990344,43.28360965,39.39675789,,,,,,,,,,,,,
Germany,DEU,Imports of goods and services (constant LCU),NE.IMP.GNFS.KN,Imports of goods and services,1.28E+12,1.36E+12,1.36E+12,,,,,,,,,,,,,
Germany,DEU,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,Imports of goods and services,1.38E+12,1.71E+12,1.65E+12,,,,,,,,,,,,,
Germany,DEU,Imports of goods and services (current US$),NE.IMP.GNFS.CD,Imports of goods and services,1.63E+12,1.80E+12,1.78E+12,,,,,,,,,,,,,
Germany,DEU,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,"Imports of goods, services and primary income",1.77E+12,1.98E+12,2.06E+12,,,,,,,,,,,,,
Germany,DEU,Interest payments (% of expense),GC.XPN.INTP.ZS,Interest payments,0.865111732,1.341976444,..,,,,,,,,,,,,,
Germany,DEU,Interest payments (% of revenue),GC.XPN.INTP.RV.ZS,Interest payments,0.976158361,1.476652696,..,,,,,,,,,,,,,
Germany,DEU,Interest payments (current LCU),GC.XPN.INTP.CN,Interest payments,10407000000,16690000000,..,,,,,,,,,,,,,
Germany,DEU,"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,Interest rate spread,..,..,..,,,,,,,,,,,,,
Germany,DEU,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,"International tourism, expenditures",..,..,..,,,,,,,,,,,,,
Germany,DEU,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,"International tourism, expenditures",..,..,..,,,,,,,,,,,,,
Germany,DEU,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,"International tourism, expenditures for passenger transport items",..,..,..,,,,,,,,,,,,,
Germany,DEU,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,"International tourism, expenditures for travel items",..,..,..,,,,,,,,,,,,,
Germany,DEU,Other expense (% of expense),GC.XPN.OTHR.ZS,Other expense,5.50880491,7.925000826,..,,,,,,,,,,,,,
Germany,DEU,Other expense (current LCU),GC.XPN.OTHR.CN,Other expense,66269050071,98562284275,..,,,,,,,,,,,,,
Germany,DEU,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Out-of-pocket expenditure,12.16129494,..,..,,,,,,,,,,,,,
Germany,DEU,Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Out-of-pocket expenditure per capita,805.8079241,..,..,,,,,,,,,,,,,
Germany,DEU,"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,"Out-of-pocket expenditure per capita, PPP",916.2058495,899.6585593,..,,,,,,,,,,,,,
China,CHN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,GDP,1.59E+13,1.63E+13,1.72E+13,,,,,,,,,,,,,
China,CHN,GDP (constant LCU),NY.GDP.MKTP.KN,GDP,1.10E+14,1.13E+14,1.19E+14,,,,,,,,,,,,,
China,CHN,GDP (current LCU),NY.GDP.MKTP.CN,GDP,1.15E+14,1.20E+14,1.26E+14,,,,,,,,,,,,,
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,GDP,1.78E+13,1.79E+13,1.78E+13,,,,,,,,,,,,,
China,CHN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,GDP deflator,104.5523266,106.4590234,105.8390127,,,,,,,,,,,,,
China,CHN,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,GDP deflator: linked series,104.5523266,106.4590234,105.8390127,,,,,,,,,,,,,
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,GDP growth,8.448469417,2.95066993,5.249557864,,,,,,,,,,,,,
China,CHN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,GDP per capita,11223.25535,11555.93024,12175.19611,,,,,,,,,,,,,
China,CHN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,GDP per capita,77827.03421,80133.94957,84428.21403,,,,,,,,,,,,,
China,CHN,GDP per capita (current LCU),NY.GDP.PCAP.CN,GDP per capita,81369.97498,85309.82014,89357.98815,,,,,,,,,,,,,
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,GDP per capita,12617.5051,12662.58267,12614.06174,,,,,,,,,,,,,
China,CHN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,GDP per capita growth,8.351719954,2.964156837,5.358857863,,,,,,,,,,,,,
China,CHN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,"GDP per capita, PPP",20406.72966,21011.61713,22137.59983,,,,,,,,,,,,,
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"GDP per capita, PPP",20406.72966,22509.63635,24569.28651,,,,,,,,,,,,,
China,CHN,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,GDP per person employed,38653.6718,40548.92627,42291.69881,,,,,,,,,,,,,
China,CHN,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use,..,..,..,,,,,,,,,,,,,
China,CHN,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,GDP per unit of energy use,..,..,..,,,,,,,,,,,,,
China,CHN,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,"GDP, PPP",2.88E+13,2.97E+13,3.12E+13,,,,,,,,,,,,,
