Country Name,Series Name,Series Code,series_type,2021 [YR2021],2022 [YR2022],2023 [YR2023],Country Code_CHN,Country Code_DEU,Country Code_IND,Country Code_JPN,Country Code_USA
United States,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,Unemployment,7.053,5.122,4.737,0,0,0,0,1
United States,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,Unemployment,7.094,4.836,5.003,0,0,0,0,1
United States,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,Unemployment,8.056,5.507,5.591,0,0,0,0,1
United States,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,Unemployment,9.765,6.417,6.838,0,0,0,0,1
United States,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,Unemployment,7.15,5.047,4.942,0,0,0,0,1
United States,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,Unemployment,7.076,4.96,4.888,0,0,0,0,1
United States,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,Unemployment,3.573,2.325,2.425,0,0,0,0,1
United States,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,Unemployment,3.579,2.317,2.323,0,0,0,0,1
United States,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,Unemployment,3.576,2.321,2.373,0,0,0,0,1
India,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Unemployment,20.08,19.262,15.583,0,0,1,0,0
India,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Unemployment,21.158,17.497,15.716,0,0,1,0,0
India,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Unemployment,20.842,17.471,15.429,0,0,1,0,0
India,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Unemployment,20.824,17.769,15.661,0,0,1,0,0
India,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Unemployment,20.684,17.856,15.469,0,0,1,0,0
India,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Unemployment,19.621,18.689,15.484,0,0,1,0,0
India,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Unemployment,6.38,4.822,4.172,0,0,1,0,0
India,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment,6.38,4.822,4.172,0,0,1,0,0
India,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Unemployment,6.73,4.908,4.222,0,0,1,0,0
India,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Unemployment,6.72,4.908,4.216,0,0,1,0,0
India,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,Unemployment,5.402,4.588,4.063,0,0,1,0,0
India,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Unemployment,5.394,4.588,4.057,0,0,1,0,0
India,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,Unemployment,8.773,8.874,6.798,0,0,1,0,0
India,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,Unemployment,9.734,7.888,5.791,0,0,1,0,0
India,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,Unemployment,4.877,3.095,2.473,0,0,1,0,0
India,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,Unemployment,2.856,1.799,1.697,0,0,1,0,0
India,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,Unemployment,5.382,3.449,2.748,0,0,1,0,0
India,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,Unemployment,9.571,8.06,5.991,0,0,1,0,0
India,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,Unemployment,13.5,12.052,10.839,0,0,1,0,0
India,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,Unemployment,23.395,21.424,20.594,0,0,1,0,0
India,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,Unemployment,15.781,14.3,13.316,0,0,1,0,0
Germany,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Unemployment,6.297,4.853,5.219,0,1,0,0,0
Germany,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Unemployment,6.966,7.039,6.555,0,1,0,0,0
Germany,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Unemployment,6.972,7.019,6.529,0,1,0,0,0
Germany,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Unemployment,6.665,6.04,5.949,0,1,0,0,0
Germany,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Unemployment,6.662,6.028,5.927,0,1,0,0,0
Germany,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Unemployment,6.303,4.858,5.234,0,1,0,0,0
Germany,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Unemployment,3.594,3.12,3.068,0,1,0,0,0
Germany,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment,3.594,3.12,3.068,0,1,0,0,0
Germany,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Unemployment,3.987,3.402,3.271,0,1,0,0,0
Germany,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Unemployment,3.987,3.401,3.27,0,1,0,0,0
Germany,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,Unemployment,3.14,2.798,2.837,0,1,0,0,0
Germany,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Unemployment,3.14,2.797,2.836,0,1,0,0,0
Germany,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,Unemployment,2.661,2.311,2.316,0,1,0,0,0
Germany,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,Unemployment,3.519,3.092,2.821,0,1,0,0,0
Germany,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,Unemployment,7.686,6.788,6.322,0,1,0,0,0
Germany,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,Unemployment,6.578,6.05,5.61,0,1,0,0,0
Germany,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,Unemployment,8.497,7.332,6.842,0,1,0,0,0
Germany,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,Unemployment,3.097,2.704,2.571,0,1,0,0,0
Germany,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,Unemployment,2.425,1.741,1.977,0,1,0,0,0
Germany,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,Unemployment,2.377,2.049,2.361,0,1,0,0,0
Germany,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,Unemployment,2.404,1.877,2.149,0,1,0,0,0
Japan,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,Unemployment,4.092,3.757,3.8,0,0,0,1,0
Japan,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Unemployment,5.089,5.079,4.481,0,0,0,1,0
Japan,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,Unemployment,5.321,5.125,4.4,0,0,0,1,0
Japan,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Unemployment,4.625,4.406,4.116,0,0,0,1,0
Japan,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,Unemployment,4.707,4.438,4.1,0,0,0,1,0
Japan,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Unemployment,4.153,3.726,3.75,0,0,0,1,0
Japan,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Unemployment,2.809,2.615,2.6,0,0,0,1,0
Japan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment,2.828,2.6,2.6,0,0,0,1,0
Japan,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,Unemployment,3.035,2.828,2.8,0,0,0,1,0
Japan,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Unemployment,3.049,2.777,2.827,0,0,0,1,0
Japan,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,Unemployment,2.527,2.353,2.3,0,0,0,1,0
Japan,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Unemployment,2.55,2.38,2.322,0,0,0,1,0
China,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,Unemployment,13.374,15.934,16.919,1,0,0,0,0
China,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,Unemployment,12.422,14.811,15.745,1,0,0,0,0
China,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,Unemployment,11.163,13.318,14.178,1,0,0,0,0
China,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Unemployment,4.55,4.98,4.67,1,0,0,0,0
China,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Unemployment,5.04,5.516,5.173,1,0,0,0,0
China,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Unemployment,3.953,4.326,4.057,1,0,0,0,0
China,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,Broad money,203.8378734,217.1287767,227.9445732,1,0,0,0,0
China,Broad money (current LCU),FM.LBL.BMNY.CN,Broad money,2.34E+14,2.62E+14,2.87E+14,1,0,0,0,0
China,Broad money growth (annual %),FM.LBL.BMNY.ZG,Broad money,9.075745734,11.66330022,9.848834535,1,0,0,0,0
China,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,Broad money,10.59672482,11.74127048,11.75872445,1,0,0,0,0
China,Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,Claims,2.094292056,2.761421195,2.792120091,1,0,0,0,0
China,Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,Claims,8.554996445,8.796261892,8.056557638,1,0,0,0,0
China,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,exchange rate,6.44897518,6.737158112,7.083998423,1,0,0,0,0
China,Real effective exchange rate index (2010 = 100),PX.REX.REER,exchange rate,127.328418,125.966431,116.0394435,1,0,0,0,0
Germany,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,exchange rate,0.845494139,0.949623753,0.924839558,0,1,0,0,0
Germany,Real effective exchange rate index (2010 = 100),PX.REX.REER,exchange rate,97.13995968,93.7213134,97.1443097,0,1,0,0,0
Japan,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,Broad money,281.9455368,284.665258,275.5569422,0,0,0,1,0
Japan,Broad money (current LCU),FM.LBL.BMNY.CN,Broad money,1.56E+15,1.59E+15,1.63E+15,0,0,0,1,0
Japan,Broad money growth (annual %),FM.LBL.BMNY.ZG,Broad money,2.945157822,2.268993929,2.158940293,0,0,0,1,0
Japan,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,Broad money,10.09774055,9.870305126,8.949061357,0,0,0,1,0
Japan,Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,Claims,0.095290076,-0.063487259,2.210412074,0,0,0,1,0
Japan,Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,Claims,2.750976457,-0.073063943,2.889304853,0,0,0,1,0
Japan,Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,Claims,0.988086923,1.572578947,1.86513502,0,0,0,1,0
Japan,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,exchange rate,109.7543238,131.4981404,140.4911001,0,0,0,1,0
Japan,Real effective exchange rate index (2010 = 100),PX.REX.REER,exchange rate,70.69116244,61.01097912,58.11491152,0,0,0,1,0
India,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,exchange rate,73.91801282,78.60449058,82.59927645,0,0,1,0,0
United States,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,Broad money,114.9809344,103.8161168,99.12791711,0,0,0,0,1
United States,Broad money (current LCU),FM.LBL.BMNY.CN,Broad money,2.72E+13,2.70E+13,2.75E+13,0,0,0,0,1
United States,Broad money growth (annual %),FM.LBL.BMNY.ZG,Broad money,16.85668337,-0.84280258,1.776394992,0,0,0,0,1
United States,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,Broad money,38.0210092,38.20783613,35.52887385,0,0,0,0,1
United States,Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,Claims,12.67334133,-3.916926706,-0.393185277,0,0,0,0,1
United States,Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,Claims,6.037187781,3.197856047,2.014442875,0,0,0,0,1
United States,Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,Claims,1.761209024,5.169487554,1.206869309,0,0,0,0,1
United States,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,exchange rate,1,1,1,0,0,0,0,1
United States,Real effective exchange rate index (2010 = 100),PX.REX.REER,exchange rate,115.6271055,126.625654,127.5404195,0,0,0,0,1
United States,Classification of household consumption,SPI.D5.2.5.HOUS,Classification indicators,1,1,1,0,0,0,0,1
United States,Classification of national industry,SPI.D5.2.3.CNIN,Classification indicators,1,1,1,0,0,0,0,1
United States,Classification of status of employment,SPI.D5.2.6.EMPL,Classification indicators,1,1,1,0,0,0,0,1
United States,Compilation of government finance statistics,SPI.D5.2.8.FINA,Compilation of government finance statistics,1,1,1,0,0,0,0,1
United States,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,Compilation of monetary and financial statistics,1,1,1,0,0,0,0,1
United States,Dimension 3.4: Institutional Statistics,SPI.DIM3.4.INDEX,Dimension indicators,0.775,0.661,0.8285,0,0,0,0,1
United States,Dimension 3.3: Environmental Statistics,SPI.DIM3.3.INDEX,Dimension indicators,0.95,0.9545,0.9165,0,0,0,0,1
United States,Dimension 3.2: Economic Statistics,SPI.DIM3.2.INDEX,Dimension indicators,0.861166667,0.8385,0.9555,0,0,0,0,1
United States,Dimension 3.1: Social Statistics,SPI.DIM3.1.INDEX,Dimension indicators,0.855833333,0.772833333,0.82,0,0,0,0,1
United States,Dimension 2.4: Data services,SPI.DIM2.4.INDEX,Dimension indicators,1,1,1,0,0,0,0,1
United States,Dimension 5.5: Finance,SPI.DIM5.5.INDEX,Dimension indicators,1,1,1,0,0,0,0,1
United States,Labor Force Survey (Availability score over 10 years),SPI.D4.1.6.LABR,Survey,1,1,1,0,0,0,0,1
United States,Pillar 5 - Data Infrastructure - Score,SPI.INDEX.PIL5,Pillar indicators,100,100,100,0,0,0,0,1
United States,Pillar 2 - Data Services - Score,SPI.INDEX.PIL2,Pillar indicators,92.7,93.13333333,93.13333333,0,0,0,0,1
United States,Pillar 3 - Data Products - Score,SPI.INDEX.PIL3,Pillar indicators,85.95,80.61875,88.39375,0,0,0,0,1
United States,Pillar 4 - Data Sources - Score,SPI.INDEX.PIL4,Pillar indicators,85.1,85.625,85.625,0,0,0,0,1
United States,Pillar 1 - Data Use - Score,SPI.INDEX.PIL1,Pillar indicators,100,100,100,0,0,0,0,1
United States,Availability of Comparable Poverty headcount ratio at $2.15 a day (5 year moving average),SPI.D1.5.POV,Availability of Comparable Poverty headcount ratio at $2.15 a day (5 year moving average),1,1,1,0,0,0,0,1
United States,Agriculture survey (Availability score over 10 years),SPI.D4.1.5.AGSVY,Survey,1,1,1,0,0,0,0,1
United States,Business process,SPI.D5.2.10.GSBP,Business process,1,1,1,0,0,0,0,1
United States,Business/establishment survey (Availability score over 10 years),SPI.D4.1.8.BZSVY,Survey,1,1,1,0,0,0,0,1
United States,Dimension 1.5: Data use by international organizations,SPI.DIM1.5.INDEX,Dimension indicators,1,1,1,0,0,0,0,1
United States,Dimension 5.2: Standards and Methods,SPI.DIM5.2.INDEX,Dimension indicators,1,1,1,0,0,0,0,1
United States,Dimension 5.1: Legislation and governance,SPI.DIM5.1.INDEX,Dimension indicators,1,1,1,0,0,0,0,1
United States,Dimension 4.3: Geospatial Data,SPI.DIM4.3.INDEX,Dimension indicators,0.404,0.425,0.425,0,0,0,0,1
United States,Dimension 4.2: Administrative Data,SPI.DIM4.2.INDEX,Dimension indicators,1,1,1,0,0,0,0,1
United States,GOAL 11: Sustainable Cities and Communities (5 year moving average),SPI.D3.11.CITY,No Poverty indicators,0.8,0.875,1,0,0,0,0,1
United States,GOAL 13: Climate Action (5 year moving average),SPI.D3.13.CLMT,No Poverty indicators,1,1,1,0,0,0,0,1
United States,GOAL 15: Life on Land (5 year moving average),SPI.D3.15.LAND,No Poverty indicators,0.9,0.909,0.833,0,0,0,0,1
United States,GOAL 3: Good Health and Well-being (5 year moving average),SPI.D3.3.HLTH,No Poverty indicators,0.96,0.92,0.88,0,0,0,0,1
United States,GOAL 4: Quality Education (5 year moving average),SPI.D3.4.EDUC,No Poverty indicators,0.6,0.4,0.833,0,0,0,0,1
United States,GOAL 5: Gender Equality (5 year moving average),SPI.D3.5.GEND,No Poverty indicators,0.8,0.667,0.75,0,0,0,0,1
United States,GOAL 6: Clean Water and Sanitation (5 year moving average),SPI.D3.6.WTRS,No Poverty indicators,0.875,0.875,0.857,0,0,0,0,1
United States,GOAL 7: Affordable and Clean Energy (5 year moving average),SPI.D3.7.ENRG,No Poverty indicators,0.667,0.667,0.833,0,0,0,0,1
United States,"GOAL 9: Industry, Innovation and Infrastructure (5 year moving average)",SPI.D3.9.INDY,No Poverty indicators,0.9,0.9,0.9,0,0,0,0,1
United States,GOAL 8: Decent Work and Economic Growth (5 year moving average),SPI.D3.8.WORK,No Poverty indicators,1,0.889,1,0,0,0,0,1
United States,Health/Demographic survey (Availability score over 10 years),SPI.D4.1.7.HLTH,Survey,1,1,1,0,0,0,0,1
Japan,Classification of household consumption,SPI.D5.2.5.HOUS,Classification indicators,1,1,1,0,0,0,1,0
Japan,Classification of national industry,SPI.D5.2.3.CNIN,Classification indicators,1,1,1,0,0,0,1,0
Japan,Classification of status of employment,SPI.D5.2.6.EMPL,Classification indicators,1,1,1,0,0,0,1,0
Japan,Compilation of government finance statistics,SPI.D5.2.8.FINA,Compilation of government finance statistics,1,1,1,0,0,0,1,0
Japan,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,Compilation of monetary and financial statistics,1,1,1,0,0,0,1,0
Japan,Dimension 3.4: Institutional Statistics,SPI.DIM3.4.INDEX,Dimension indicators,0.806,0.789,0.862,0,0,0,1,0
Japan,Dimension 3.3: Environmental Statistics,SPI.DIM3.3.INDEX,Dimension indicators,1,0.909,0.875,0,0,0,1,0
Japan,Dimension 3.2: Economic Statistics,SPI.DIM3.2.INDEX,Dimension indicators,0.873666667,0.861166667,0.934666667,0,0,0,1,0
Japan,Dimension 3.1: Social Statistics,SPI.DIM3.1.INDEX,Dimension indicators,0.787833333,0.762,0.762833333,0,0,0,1,0
Japan,Dimension 2.4: Data services,SPI.DIM2.4.INDEX,Dimension indicators,1,1,1,0,0,0,1,0
Japan,Dimension 5.5: Finance,SPI.DIM5.5.INDEX,Dimension indicators,1,1,1,0,0,0,1,0
Japan,Labor Force Survey (Availability score over 10 years),SPI.D4.1.6.LABR,Survey,1,1,1,0,0,0,1,0
Japan,Pillar 5 - Data Infrastructure - Score,SPI.INDEX.PIL5,Pillar indicators,95,95,95,0,0,0,1,0
Japan,Pillar 2 - Data Services - Score,SPI.INDEX.PIL2,Pillar indicators,89.83333333,90.3,90.3,0,0,0,1,0
Japan,Pillar 3 - Data Products - Score,SPI.INDEX.PIL3,Pillar indicators,84.88125,82.09375,85.36875,0,0,0,1,0
Japan,Pillar 4 - Data Sources - Score,SPI.INDEX.PIL4,Pillar indicators,83.825,84.05,84.05,0,0,0,1,0
Japan,Pillar 1 - Data Use - Score,SPI.INDEX.PIL1,Pillar indicators,100,100,100,0,0,0,1,0
Japan,Availability of Comparable Poverty headcount ratio at $2.15 a day (5 year moving average),SPI.D1.5.POV,Availability of Comparable Poverty headcount ratio at $2.15 a day (5 year moving average),1,1,1,0,0,0,1,0
Japan,Agriculture survey (Availability score over 10 years),SPI.D4.1.5.AGSVY,Survey,1,1,1,0,0,0,1,0
Japan,Business process,SPI.D5.2.10.GSBP,Business process,1,1,1,0,0,0,1,0
Japan,Business/establishment survey (Availability score over 10 years),SPI.D4.1.8.BZSVY,Survey,1,1,1,0,0,0,1,0
Japan,Dimension 1.5: Data use by international organizations,SPI.DIM1.5.INDEX,Dimension indicators,1,1,1,0,0,0,1,0
Japan,Dimension 5.2: Standards and Methods,SPI.DIM5.2.INDEX,Dimension indicators,0.95,0.95,0.95,0,0,0,1,0
Japan,Dimension 5.1: Legislation and governance,SPI.DIM5.1.INDEX,Dimension indicators,1,1,1,0,0,0,1,0
Japan,Dimension 4.3: Geospatial Data,SPI.DIM4.3.INDEX,Dimension indicators,0.419,0.428,0.428,0,0,0,1,0
Japan,Dimension 4.2: Administrative Data,SPI.DIM4.2.INDEX,Dimension indicators,1,1,1,0,0,0,1,0
Japan,GOAL 11: Sustainable Cities and Communities (5 year moving average),SPI.D3.11.CITY,No Poverty indicators,1,1,1,0,0,0,1,0
Japan,GOAL 13: Climate Action (5 year moving average),SPI.D3.13.CLMT,No Poverty indicators,1,1,1,0,0,0,1,0
Japan,GOAL 15: Life on Land (5 year moving average),SPI.D3.15.LAND,No Poverty indicators,1,0.818,0.75,0,0,0,1,0
Japan,GOAL 3: Good Health and Well-being (5 year moving average),SPI.D3.3.HLTH,No Poverty indicators,0.92,0.88,0.88,0,0,0,1,0
Japan,GOAL 4: Quality Education (5 year moving average),SPI.D3.4.EDUC,No Poverty indicators,0.6,0.6,0.833,0,0,0,1,0
Japan,GOAL 5: Gender Equality (5 year moving average),SPI.D3.5.GEND,No Poverty indicators,0.8,0.667,0.75,0,0,0,1,0
Japan,GOAL 6: Clean Water and Sanitation (5 year moving average),SPI.D3.6.WTRS,No Poverty indicators,0.75,0.75,0.714,0,0,0,1,0
Japan,GOAL 7: Affordable and Clean Energy (5 year moving average),SPI.D3.7.ENRG,No Poverty indicators,0.667,0.667,0.833,0,0,0,1,0
Japan,"GOAL 9: Industry, Innovation and Infrastructure (5 year moving average)",SPI.D3.9.INDY,No Poverty indicators,0.9,0.9,0.9,0,0,0,1,0
Japan,GOAL 8: Decent Work and Economic Growth (5 year moving average),SPI.D3.8.WORK,No Poverty indicators,1,1,1,0,0,0,1,0
Japan,Health/Demographic survey (Availability score over 10 years),SPI.D4.1.7.HLTH,Survey,0.67,0.67,0.67,0,0,0,1,0
China,Classification of household consumption,SPI.D5.2.5.HOUS,Classification indicators,0,0,0,1,0,0,0,0
China,Classification of national industry,SPI.D5.2.3.CNIN,Classification indicators,1,1,1,1,0,0,0,0
China,Classification of status of employment,SPI.D5.2.6.EMPL,Classification indicators,0,0,1,1,0,0,0,0
China,Compilation of government finance statistics,SPI.D5.2.8.FINA,Compilation of government finance statistics,0.5,0.5,0.5,1,0,0,0,0
China,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,Compilation of monetary and financial statistics,0,0,0,1,0,0,0,0
China,Dimension 3.4: Institutional Statistics,SPI.DIM3.4.INDEX,Dimension indicators,0.669,0.6945,0.752,1,0,0,0,0
China,Dimension 3.3: Environmental Statistics,SPI.DIM3.3.INDEX,Dimension indicators,0.7835,0.7425,0.6665,1,0,0,0,0
China,Dimension 3.2: Economic Statistics,SPI.DIM3.2.INDEX,Dimension indicators,0.843,0.806,0.893,1,0,0,0,0
China,Dimension 3.1: Social Statistics,SPI.DIM3.1.INDEX,Dimension indicators,0.74,0.684666667,0.734,1,0,0,0,0
China,Dimension 2.4: Data services,SPI.DIM2.4.INDEX,Dimension indicators,0,0,0,1,0,0,0,0
China,Dimension 5.5: Finance,SPI.DIM5.5.INDEX,Dimension indicators,1,1,1,1,0,0,0,0
China,Labor Force Survey (Availability score over 10 years),SPI.D4.1.6.LABR,Survey,0.33,0.33,0.33,1,0,0,0,0
China,Pillar 5 - Data Infrastructure - Score,SPI.INDEX.PIL5,Pillar indicators,50,50,60,1,0,0,0,0
